Year,File Type,File Size,Compression,Resolution,Season,Image File,World File,Location
2012,ECW,18MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/Q11D-1.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/Q11D-1.eww,"POLYGON ((-97.175005598896 49.737103378947, -97.175174206968 49.732608429023, -97.182109004111 49.732717495442, -97.181941035931 49.737212462604, -97.175005598896 49.737103378947))"
2012,ECW,2MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/K5A-1.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/K5A-1.eww,"POLYGON ((-97.346075906973 49.83725052678, -97.346205949881 49.833438529702, -97.347198383706 49.833452688492, -97.34706841875 49.837264687469, -97.346075906973 49.83725052678))"
2012,ECW,1MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/C9C-4.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/C9C-4.eww,"POLYGON ((-97.229725775266 49.949335618301, -97.229890561182 49.944840698911, -97.230102309522 49.94484393104, -97.229937543293 49.949338850942, -97.229725775266 49.949335618301))"
2012,ECW,17MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/L12D-4.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/L12D-4.eww,"POLYGON ((-97.137746755524 49.803974203599, -97.137919211708 49.799479400001, -97.144863409732 49.799590804933, -97.144691595783 49.804085626144, -97.137746755524 49.803974203599))"
2012,ECW,19MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/D11D-2.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/D11D-2.eww,"POLYGON ((-97.160581005148 49.934767023621, -97.16075213703 49.930272263992, -97.167715198961 49.930382509708, -97.167544714069 49.93487728678, -97.160581005148 49.934767023621))"
2012,ECW,18MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/H12A-2.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/H12A-2.eww,"POLYGON ((-97.149063730107 49.871618741538, -97.149235549005 49.86712396185, -97.156189484152 49.86723479752, -97.156018309941 49.871729594738, -97.149063730107 49.871618741538))"
2012,ECW,17MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/H9A-4.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/H9A-4.eww,"POLYGON ((-97.232685578603 49.868426472436, -97.232849619038 49.863931482831, -97.239803415797 49.864037298433, -97.239640020052 49.868532304774, -97.232685578603 49.868426472436))"
2012,ECW,25MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/K8D-2.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/K8D-2.eww,"POLYGON ((-97.248057788457 49.828182372829, -97.248220171311 49.82368731477, -97.255168254988 49.823792147223, -97.255006515395 49.828287221859, -97.248057788457 49.828182372829))"
2012,ECW,20MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/E7B-4.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/E7B-4.eww,"POLYGON ((-97.272487626677 49.922995977226, -97.272648283576 49.918500934776, -97.27961007261 49.918604445081, -97.27945006243 49.923099503908, -97.272487626677 49.922995977226))"
2012,ECW,19MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/M10A-3.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/M10A-3.eww,"POLYGON ((-97.213681472474 49.796174777395, -97.213846853357 49.791679777774, -97.219997293085 49.791774440513, -97.219832480941 49.7962694551, -97.213681472474 49.796174777395))"
2012,ECW,21MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/C9B-4.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/C9B-4.eww,"POLYGON ((-97.215461464929 49.958111855044, -97.215627629792 49.953616977251, -97.222594267938 49.953723964634, -97.22242875099 49.958218859357, -97.215461464929 49.958111855044))"
